Category: All categories

Week,Ice cream: (Moscow)
2020-12-27,34
2021-01-03,46
2021-01-10,32
2021-01-17,38
2021-01-24,37
2021-01-31,39
2021-02-07,37
2021-02-14,33
2021-02-21,39
2021-02-28,37
2021-03-07,35
2021-03-14,45
2021-03-21,51
2021-03-28,46
2021-04-04,49
2021-04-11,59
2021-04-18,45
2021-04-25,46
2021-05-02,62
2021-05-09,64
2021-05-16,82
2021-05-23,72
2021-05-30,67
2021-06-06,70
2021-06-13,73
2021-06-20,100
2021-06-27,69
2021-07-04,77
2021-07-11,79
2021-07-18,68
2021-07-25,58
2021-08-01,54
2021-08-08,55
2021-08-15,51
2021-08-22,43
2021-08-29,36
2021-09-05,32
2021-09-12,35
2021-09-19,27
2021-09-26,34
2021-10-03,33
2021-10-10,39
2021-10-17,34
2021-10-24,27
2021-10-31,32
2021-11-07,26
2021-11-14,30
2021-11-21,28
2021-11-28,29
2021-12-05,34
2021-12-12,30
2021-12-19,31
2021-12-26,34
2022-01-02,43
2022-01-09,35
2022-01-16,32
2022-01-23,33
2022-01-30,40
2022-02-06,34
2022-02-13,35
2022-02-20,36
2022-02-27,25
2022-03-06,32
2022-03-13,38
2022-03-20,37
2022-03-27,36
2022-04-03,37
2022-04-10,44
2022-04-17,41
2022-04-24,46
2022-05-01,57
2022-05-08,54
2022-05-15,51
2022-05-22,56
2022-05-29,71
2022-06-05,78
2022-06-12,70
2022-06-19,69
2022-06-26,86
2022-07-03,80
2022-07-10,75
2022-07-17,61
2022-07-24,75
2022-07-31,70
2022-08-07,49
2022-08-14,6
2022-08-21,6
2022-08-28,24
2022-09-04,35
2022-09-11,34
2022-09-18,34
2022-09-25,32
2022-10-02,33
2022-10-09,32
2022-10-16,37
2022-10-23,32
2022-10-30,35
2022-11-06,37
2022-11-13,32
2022-11-20,31
2022-11-27,32
2022-12-04,31
2022-12-11,29
2022-12-18,30
2022-12-25,36
2023-01-01,48
2023-01-08,32
2023-01-15,37
2023-01-22,41
2023-01-29,35
2023-02-05,36
2023-02-12,37
2023-02-19,39
2023-02-26,36
2023-03-05,42
2023-03-12,41
2023-03-19,43
2023-03-26,46
2023-04-02,46
2023-04-09,48
2023-04-16,47
2023-04-23,54
2023-04-30,52
2023-05-07,55
2023-05-14,59
2023-05-21,62
2023-05-28,71
2023-06-04,64
2023-06-11,77
2023-06-18,66
2023-06-25,68
2023-07-02,64
2023-07-09,60
2023-07-16,64
2023-07-23,55
2023-07-30,62
2023-08-06,62
2023-08-13,61
2023-08-20,44
2023-08-27,54
2023-09-03,40
2023-09-10,37
2023-09-17,42
2023-09-24,41
2023-10-01,34
2023-10-08,31
2023-10-15,34
2023-10-22,30
2023-10-29,36
2023-11-05,36
2023-11-12,32
2023-11-19,35
2023-11-26,36
2023-12-03,31
2023-12-10,34
2023-12-17,31
2023-12-24,31
2023-12-31,42
2024-01-07,32
2024-01-14,33
2024-01-21,34
2024-01-28,35
2024-02-04,38
2024-02-11,36
2024-02-18,41
2024-02-25,37
2024-03-03,38
2024-03-10,36
2024-03-17,35
2024-03-24,38
2024-03-31,47
2024-04-07,41
2024-04-14,42
2024-04-21,47
2024-04-28,60
2024-05-05,42
2024-05-12,53
2024-05-19,68
2024-05-26,83
2024-06-02,73
2024-06-09,63
2024-06-16,68
2024-06-23,72
2024-06-30,87
2024-07-07,78
2024-07-14,76
2024-07-21,65
2024-07-28,50
2024-08-04,58
2024-08-11,46
2024-08-18,50
2024-08-25,63
2024-09-01,44
2024-09-08,42
2024-09-15,43
2024-09-22,33
2024-09-29,30
2024-10-06,35
2024-10-13,31
2024-10-20,31
2024-10-27,37
2024-11-03,31
2024-11-10,36
2024-11-17,36
2024-11-24,35
2024-12-01,34
2024-12-08,33
2024-12-15,27
2024-12-22,31
2024-12-29,42
2025-01-05,36
2025-01-12,35
2025-01-19,36
2025-01-26,39
2025-02-02,38
2025-02-09,36
2025-02-16,40
2025-02-23,37
2025-03-02,32
2025-03-09,38
2025-03-16,37
2025-03-23,38
2025-03-30,43
2025-04-06,40
2025-04-13,48
2025-04-20,56
2025-04-27,58
2025-05-04,52
2025-05-11,44
2025-05-18,61
2025-05-25,86
2025-06-01,76
2025-06-08,98
2025-06-15,82
2025-06-22,71
2025-06-29,67
2025-07-06,92
2025-07-13,68
2025-07-20,68
2025-07-27,74
2025-08-03,66
2025-08-10,64
2025-08-17,56
2025-08-24,46
2025-08-31,43
2025-09-07,47
2025-09-14,47
2025-09-21,45
2025-09-28,41
2025-10-05,39
2025-10-12,36
2025-10-19,40
2025-10-26,42
2025-11-02,45
2025-11-09,38
2025-11-16,43
2025-11-23,46
2025-11-30,43
2025-12-07,39
2025-12-14,41
2025-12-21,34
2025-12-28,42
