Category: All categories

Week,Ice cream: (Ontario)
2020-12-27,31
2021-01-03,30
2021-01-10,35
2021-01-17,38
2021-01-24,37
2021-01-31,36
2021-02-07,35
2021-02-14,35
2021-02-21,36
2021-02-28,36
2021-03-07,39
2021-03-14,39
2021-03-21,47
2021-03-28,44
2021-04-04,56
2021-04-11,50
2021-04-18,51
2021-04-25,54
2021-05-02,52
2021-05-09,63
2021-05-16,86
2021-05-23,85
2021-05-30,81
2021-06-06,86
2021-06-13,72
2021-06-20,73
2021-06-27,74
2021-07-04,72
2021-07-11,66
2021-07-18,83
2021-07-25,72
2021-08-01,74
2021-08-08,70
2021-08-15,74
2021-08-22,71
2021-08-29,66
2021-09-05,56
2021-09-12,45
2021-09-19,40
2021-09-26,38
2021-10-03,37
2021-10-10,40
2021-10-17,32
2021-10-24,30
2021-10-31,29
2021-11-07,29
2021-11-14,30
2021-11-21,31
2021-11-28,30
2021-12-05,29
2021-12-12,27
2021-12-19,30
2021-12-26,32
2022-01-02,30
2022-01-09,33
2022-01-16,30
2022-01-23,36
2022-01-30,34
2022-02-06,37
2022-02-13,35
2022-02-20,44
2022-02-27,37
2022-03-06,36
2022-03-13,46
2022-03-20,44
2022-03-27,38
2022-04-03,41
2022-04-10,46
2022-04-17,43
2022-04-24,54
2022-05-01,50
2022-05-08,64
2022-05-15,62
2022-05-22,74
2022-05-29,75
2022-06-05,66
2022-06-12,71
2022-06-19,74
2022-06-26,80
2022-07-03,74
2022-07-10,78
2022-07-17,88
2022-07-24,70
2022-07-31,77
2022-08-07,66
2022-08-14,64
2022-08-21,66
2022-08-28,60
2022-09-04,53
2022-09-11,45
2022-09-18,41
2022-09-25,37
2022-10-02,35
2022-10-09,38
2022-10-16,44
2022-10-23,35
2022-10-30,32
2022-11-06,34
2022-11-13,31
2022-11-20,31
2022-11-27,32
2022-12-04,32
2022-12-11,31
2022-12-18,33
2022-12-25,34
2023-01-01,34
2023-01-08,31
2023-01-15,35
2023-01-22,34
2023-01-29,34
2023-02-05,34
2023-02-12,36
2023-02-19,38
2023-02-26,36
2023-03-05,49
2023-03-12,48
2023-03-19,45
2023-03-26,54
2023-04-02,50
2023-04-09,61
2023-04-16,63
2023-04-23,53
2023-04-30,55
2023-05-07,64
2023-05-14,68
2023-05-21,87
2023-05-28,95
2023-06-04,76
2023-06-11,71
2023-06-18,85
2023-06-25,84
2023-07-02,95
2023-07-09,81
2023-07-16,86
2023-07-23,81
2023-07-30,81
2023-08-06,75
2023-08-13,69
2023-08-20,62
2023-08-27,63
2023-09-03,71
2023-09-10,48
2023-09-17,54
2023-09-24,46
2023-10-01,47
2023-10-08,39
2023-10-15,38
2023-10-22,37
2023-10-29,31
2023-11-05,35
2023-11-12,37
2023-11-19,35
2023-11-26,34
2023-12-03,35
2023-12-10,34
2023-12-17,35
2023-12-24,37
2023-12-31,35
2024-01-07,33
2024-01-14,33
2024-01-21,37
2024-01-28,39
2024-02-04,39
2024-02-11,38
2024-02-18,38
2024-02-25,40
2024-03-03,42
2024-03-10,49
2024-03-17,48
2024-03-24,46
2024-03-31,44
2024-04-07,49
2024-04-14,57
2024-04-21,55
2024-04-28,56
2024-05-05,58
2024-05-12,68
2024-05-19,85
2024-05-26,71
2024-06-02,68
2024-06-09,73
2024-06-16,77
2024-06-23,79
2024-06-30,77
2024-07-07,73
2024-07-14,74
2024-07-21,84
2024-07-28,77
2024-08-04,75
2024-08-11,65
2024-08-18,61
2024-08-25,67
2024-09-01,57
2024-09-08,49
2024-09-15,54
2024-09-22,44
2024-09-29,42
2024-10-06,40
2024-10-13,39
2024-10-20,39
2024-10-27,33
2024-11-03,32
2024-11-10,34
2024-11-17,36
2024-11-24,32
2024-12-01,31
2024-12-08,33
2024-12-15,33
2024-12-22,41
2024-12-29,40
2025-01-05,34
2025-01-12,37
2025-01-19,38
2025-01-26,37
2025-02-02,40
2025-02-09,40
2025-02-16,39
2025-02-23,41
2025-03-02,43
2025-03-09,52
2025-03-16,60
2025-03-23,49
2025-03-30,47
2025-04-06,51
2025-04-13,59
2025-04-20,57
2025-04-27,58
2025-05-04,66
2025-05-11,77
2025-05-18,68
2025-05-25,69
2025-06-01,78
2025-06-08,78
2025-06-15,80
2025-06-22,94
2025-06-29,100
2025-07-06,94
2025-07-13,93
2025-07-20,95
2025-07-27,95
2025-08-03,91
2025-08-10,81
2025-08-17,71
2025-08-24,66
2025-08-31,62
2025-09-07,52
2025-09-14,57
2025-09-21,51
2025-09-28,48
2025-10-05,49
2025-10-12,46
2025-10-19,40
2025-10-26,32
2025-11-02,40
2025-11-09,38
2025-11-16,43
2025-11-23,42
2025-11-30,41
2025-12-07,45
2025-12-14,46
2025-12-21,48
2025-12-28,45
