Category: All categories

Week,Ice cream: (Lazio)
2020-12-27,19
2021-01-03,17
2021-01-10,16
2021-01-17,21
2021-01-24,21
2021-01-31,22
2021-02-07,21
2021-02-14,25
2021-02-21,31
2021-02-28,33
2021-03-07,24
2021-03-14,29
2021-03-21,33
2021-03-28,40
2021-04-04,33
2021-04-11,39
2021-04-18,39
2021-04-25,47
2021-05-02,53
2021-05-09,56
2021-05-16,54
2021-05-23,56
2021-05-30,68
2021-06-06,62
2021-06-13,77
2021-06-20,81
2021-06-27,83
2021-07-04,78
2021-07-11,72
2021-07-18,83
2021-07-25,82
2021-08-01,78
2021-08-08,96
2021-08-15,100
2021-08-22,74
2021-08-29,68
2021-09-05,54
2021-09-12,41
2021-09-19,37
2021-09-26,35
2021-10-03,26
2021-10-10,23
2021-10-17,23
2021-10-24,25
2021-10-31,22
2021-11-07,22
2021-11-14,19
2021-11-21,21
2021-11-28,22
2021-12-05,21
2021-12-12,20
2021-12-19,19
2021-12-26,24
2022-01-02,20
2022-01-09,18
2022-01-16,21
2022-01-23,20
2022-01-30,21
2022-02-06,24
2022-02-13,25
2022-02-20,27
2022-02-27,25
2022-03-06,26
2022-03-13,32
2022-03-20,34
2022-03-27,34
2022-04-03,38
2022-04-10,49
2022-04-17,48
2022-04-24,61
2022-05-01,53
2022-05-08,62
2022-05-15,72
2022-05-22,78
2022-05-29,95
2022-06-05,82
2022-06-12,91
2022-06-19,90
2022-06-26,99
2022-07-03,95
2022-07-10,96
2022-07-17,95
2022-07-24,89
2022-07-31,61
2022-08-07,52
2022-08-14,10
2022-08-21,9
2022-08-28,20
2022-09-04,37
2022-09-11,42
2022-09-18,37
2022-09-25,29
2022-10-02,34
2022-10-09,28
2022-10-16,32
2022-10-23,32
2022-10-30,34
2022-11-06,23
2022-11-13,21
2022-11-20,21
2022-11-27,20
2022-12-04,21
2022-12-11,18
2022-12-18,18
2022-12-25,23
2023-01-01,26
2023-01-08,18
2023-01-15,19
2023-01-22,20
2023-01-29,22
2023-02-05,21
2023-02-12,24
2023-02-19,26
2023-02-26,24
2023-03-05,28
2023-03-12,32
2023-03-19,34
2023-03-26,36
2023-04-02,33
2023-04-09,35
2023-04-16,42
2023-04-23,72
2023-04-30,59
2023-05-07,46
2023-05-14,47
2023-05-21,59
2023-05-28,71
2023-06-04,65
2023-06-11,70
2023-06-18,87
2023-06-25,88
2023-07-02,83
2023-07-09,86
2023-07-16,86
2023-07-23,81
2023-07-30,78
2023-08-06,76
2023-08-13,85
2023-08-20,72
2023-08-27,49
2023-09-03,47
2023-09-10,44
2023-09-17,34
2023-09-24,32
2023-10-01,31
2023-10-08,28
2023-10-15,23
2023-10-22,23
2023-10-29,20
2023-11-05,19
2023-11-12,18
2023-11-19,17
2023-11-26,16
2023-12-03,19
2023-12-10,15
2023-12-17,14
2023-12-24,15
2023-12-31,17
2024-01-07,14
2024-01-14,16
2024-01-21,19
2024-01-28,17
2024-02-04,18
2024-02-11,20
2024-02-18,20
2024-02-25,23
2024-03-03,23
2024-03-10,26
2024-03-17,32
2024-03-24,27
2024-03-31,31
2024-04-07,43
2024-04-14,39
2024-04-21,40
2024-04-28,42
2024-05-05,40
2024-05-12,44
2024-05-19,45
2024-05-26,49
2024-06-02,64
2024-06-09,62
2024-06-16,68
2024-06-23,61
2024-06-30,62
2024-07-07,63
2024-07-14,64
2024-07-21,62
2024-07-28,59
2024-08-04,57
2024-08-11,66
2024-08-18,51
2024-08-25,48
2024-09-01,35
2024-09-08,28
2024-09-15,23
2024-09-22,24
2024-09-29,22
2024-10-06,20
2024-10-13,24
2024-10-20,22
2024-10-27,21
2024-11-03,18
2024-11-10,17
2024-11-17,15
2024-11-24,15
2024-12-01,16
2024-12-08,14
2024-12-15,14
2024-12-22,17
2024-12-29,20
2025-01-05,14
2025-01-12,18
2025-01-19,16
2025-01-26,14
2025-02-02,21
2025-02-09,19
2025-02-16,19
2025-02-23,17
2025-03-02,24
2025-03-09,24
2025-03-16,28
2025-03-23,29
2025-03-30,34
2025-04-06,37
2025-04-13,34
2025-04-20,38
2025-04-27,45
2025-05-04,42
2025-05-11,45
2025-05-18,45
2025-05-25,60
2025-06-01,67
2025-06-08,70
2025-06-15,72
2025-06-22,76
2025-06-29,80
2025-07-06,75
2025-07-13,67
2025-07-20,71
2025-07-27,59
2025-08-03,63
2025-08-10,75
2025-08-17,62
2025-08-24,51
2025-08-31,43
2025-09-07,34
2025-09-14,33
2025-09-21,28
2025-09-28,26
2025-10-05,25
2025-10-12,24
2025-10-19,20
2025-10-26,18
2025-11-02,21
2025-11-09,22
2025-11-16,20
2025-11-23,19
2025-11-30,19
2025-12-07,20
2025-12-14,19
2025-12-21,20
2025-12-28,22
