Category: All categories

Week,Ice cream: (New South Wales)
2020-12-27,66
2021-01-03,68
2021-01-10,70
2021-01-17,76
2021-01-24,71
2021-01-31,59
2021-02-07,56
2021-02-14,56
2021-02-21,54
2021-02-28,52
2021-03-07,50
2021-03-14,41
2021-03-21,46
2021-03-28,50
2021-04-04,50
2021-04-11,47
2021-04-18,45
2021-04-25,49
2021-05-02,45
2021-05-09,45
2021-05-16,45
2021-05-23,46
2021-05-30,44
2021-06-06,40
2021-06-13,46
2021-06-20,42
2021-06-27,47
2021-07-04,49
2021-07-11,46
2021-07-18,52
2021-07-25,49
2021-08-01,53
2021-08-08,48
2021-08-15,50
2021-08-22,49
2021-08-29,54
2021-09-05,59
2021-09-12,54
2021-09-19,56
2021-09-26,46
2021-10-03,51
2021-10-10,46
2021-10-17,52
2021-10-24,52
2021-10-31,49
2021-11-07,49
2021-11-14,50
2021-11-21,45
2021-11-28,48
2021-12-05,51
2021-12-12,63
2021-12-19,72
2021-12-26,67
2022-01-02,71
2022-01-09,66
2022-01-16,62
2022-01-23,73
2022-01-30,60
2022-02-06,55
2022-02-13,58
2022-02-20,50
2022-02-27,45
2022-03-06,45
2022-03-13,48
2022-03-20,48
2022-03-27,42
2022-04-03,45
2022-04-10,51
2022-04-17,47
2022-04-24,47
2022-05-01,46
2022-05-08,44
2022-05-15,45
2022-05-22,42
2022-05-29,39
2022-06-05,45
2022-06-12,50
2022-06-19,47
2022-06-26,48
2022-07-03,51
2022-07-10,51
2022-07-17,49
2022-07-24,48
2022-07-31,51
2022-08-07,48
2022-08-14,51
2022-08-21,50
2022-08-28,49
2022-09-04,49
2022-09-11,52
2022-09-18,56
2022-09-25,57
2022-10-02,58
2022-10-09,53
2022-10-16,66
2022-10-23,58
2022-10-30,56
2022-11-06,58
2022-11-13,62
2022-11-20,62
2022-11-27,63
2022-12-04,65
2022-12-11,64
2022-12-18,76
2022-12-25,84
2023-01-01,72
2023-01-08,79
2023-01-15,71
2023-01-22,74
2023-01-29,61
2023-02-05,65
2023-02-12,62
2023-02-19,57
2023-02-26,57
2023-03-05,67
2023-03-12,61
2023-03-19,55
2023-03-26,54
2023-04-02,53
2023-04-09,59
2023-04-16,57
2023-04-23,57
2023-04-30,54
2023-05-07,54
2023-05-14,54
2023-05-21,54
2023-05-28,52
2023-06-04,56
2023-06-11,57
2023-06-18,52
2023-06-25,54
2023-07-02,59
2023-07-09,61
2023-07-16,58
2023-07-23,55
2023-07-30,55
2023-08-06,57
2023-08-13,57
2023-08-20,59
2023-08-27,59
2023-09-03,63
2023-09-10,60
2023-09-17,72
2023-09-24,73
2023-10-01,82
2023-10-08,67
2023-10-15,67
2023-10-22,67
2023-10-29,63
2023-11-05,61
2023-11-12,67
2023-11-19,66
2023-11-26,68
2023-12-03,79
2023-12-10,75
2023-12-17,79
2023-12-24,77
2023-12-31,77
2024-01-07,81
2024-01-14,69
2024-01-21,74
2024-01-28,68
2024-02-04,65
2024-02-11,63
2024-02-18,57
2024-02-25,63
2024-03-03,63
2024-03-10,55
2024-03-17,59
2024-03-24,58
2024-03-31,54
2024-04-07,54
2024-04-14,58
2024-04-21,60
2024-04-28,54
2024-05-05,55
2024-05-12,53
2024-05-19,56
2024-05-26,55
2024-06-02,50
2024-06-09,51
2024-06-16,47
2024-06-23,57
2024-06-30,54
2024-07-07,58
2024-07-14,58
2024-07-21,59
2024-07-28,50
2024-08-04,55
2024-08-11,56
2024-08-18,59
2024-08-25,65
2024-09-01,65
2024-09-08,61
2024-09-15,61
2024-09-22,60
2024-09-29,71
2024-10-06,71
2024-10-13,61
2024-10-20,69
2024-10-27,68
2024-11-03,63
2024-11-10,63
2024-11-17,74
2024-11-24,73
2024-12-01,69
2024-12-08,73
2024-12-15,85
2024-12-22,94
2024-12-29,100
2025-01-05,80
2025-01-12,78
2025-01-19,77
2025-01-26,73
2025-02-02,72
2025-02-09,66
2025-02-16,63
2025-02-23,67
2025-03-02,59
2025-03-09,66
2025-03-16,65
2025-03-23,60
2025-03-30,58
2025-04-06,58
2025-04-13,70
2025-04-20,63
2025-04-27,51
2025-05-04,56
2025-05-11,57
2025-05-18,53
2025-05-25,53
2025-06-01,55
2025-06-08,54
2025-06-15,55
2025-06-22,64
2025-06-29,59
2025-07-06,66
2025-07-13,63
2025-07-20,63
2025-07-27,57
2025-08-03,63
2025-08-10,59
2025-08-17,61
2025-08-24,59
2025-08-31,58
2025-09-07,60
2025-09-14,72
2025-09-21,71
2025-09-28,76
2025-10-05,91
2025-10-12,77
2025-10-19,76
2025-10-26,67
2025-11-02,77
2025-11-09,77
2025-11-16,79
2025-11-23,89
2025-11-30,89
2025-12-07,82
2025-12-14,88
2025-12-21,98
2025-12-28,98
